,index,titles,urls,asin,asin_url
0,0,Cracking the Coding Interview: 189 Programming Questions and Solutions,https://www.amazon.com/Cracking-Coding-Interview-Programming-Questions/dp/0984782850/ref=sr_1_1?qid=1676964937&s=books&sr=1-1,0984782850,https://www.amazon.com/dp/0984782850/
1,1,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",https://www.amazon.com/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_2?qid=1676964937&s=books&sr=1-2,1449373321,https://www.amazon.com/dp/1449373321/
2,2,Machine Learning System Design Interview,https://www.amazon.com/Machine-Learning-System-Design-Interview/dp/1736049127/ref=sr_1_3?qid=1676964937&s=books&sr=1-3,1736049127,https://www.amazon.com/dp/1736049127/
3,3,"CompTIA A+ Certification All-in-One Exam Guide, Eleventh Edition (Exams 220-1101 & 220-1102) (The CompTIA A+ Certification All-In-One Exam Guides)",https://www.amazon.com/CompTIA-Certification-Eleventh-220-1101-220-1102/dp/1264609906/ref=sr_1_4?qid=1676964937&s=books&sr=1-4,1264609906,https://www.amazon.com/dp/1264609906/
4,4,(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide & Practice Tests Bundle,https://www.amazon.com/Certified-Information-Security-Professional-Official/dp/1119790026/ref=sr_1_5?qid=1676964937&s=books&sr=1-5,1119790026,https://www.amazon.com/dp/1119790026/
5,5,CompTIA Security+ Get Certified Get Ahead: SY0-601 Study Guide,https://www.amazon.com/CompTIA-Security-Get-Certified-Ahead/dp/B096D1LGSK/ref=sr_1_6?qid=1676964937&s=books&sr=1-6,B096D1LGSK,https://www.amazon.com/dp/B096D1LGSK/
6,6,System Design Interview – An insider's guide,https://www.amazon.com/System-Design-Interview-insiders-Second/dp/B08CMF2CQF/ref=sr_1_7?qid=1676964937&s=books&sr=1-7,B08CMF2CQF,https://www.amazon.com/dp/B08CMF2CQF/
7,7,"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming",https://www.amazon.com/Python-Crash-Course-Eric-Matthes/dp/1718502702/ref=sr_1_8?qid=1676964937&s=books&sr=1-8,1718502702,https://www.amazon.com/dp/1718502702/
8,8,System Design Interview – An Insider's Guide: Volume 2,https://www.amazon.com/System-Design-Interview-Insiders-Guide/dp/1736049119/ref=sr_1_9?qid=1676964937&s=books&sr=1-9,1736049119,https://www.amazon.com/dp/1736049119/
9,9,Fundamentals of Data Engineering: Plan and Build Robust Data Systems,https://www.amazon.com/Fundamentals-Data-Engineering-Robust-Systems/dp/1098108302/ref=sr_1_10?qid=1676964937&s=books&sr=1-10,1098108302,https://www.amazon.com/dp/1098108302/
10,10,The Little Learner: A Straight Line to Deep Learning,https://www.amazon.com/Little-Learner-Straight-Line-Learning/dp/026254637X/ref=sr_1_11?qid=1676964937&s=books&sr=1-11,026254637X,https://www.amazon.com/dp/026254637X/
11,11,OSINT Techniques: Resources for Uncovering Online Information,https://www.amazon.com/OSINT-Techniques-Resources-Uncovering-Information/dp/B0BRDLYX75/ref=sr_1_12?qid=1676964937&s=books&sr=1-12,B0BRDLYX75,https://www.amazon.com/dp/B0BRDLYX75/
12,12,Clean Code: A Handbook of Agile Software Craftsmanship,https://www.amazon.com/Clean-Code-Handbook-Software-Craftsmanship/dp/0132350882/ref=sr_1_13?qid=1676964937&s=books&sr=1-13,0132350882,https://www.amazon.com/dp/0132350882/
13,13,"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",https://www.amazon.com/Ace-Data-Science-Interview-Questions/dp/0578973839/ref=sr_1_14?qid=1676964937&s=books&sr=1-14,0578973839,https://www.amazon.com/dp/0578973839/
14,14,CompTIA Security+ Certification Kit: Exam SY0-601,https://www.amazon.com/CompTIA-Security-Certification-Kit-SY0-601/dp/1119794005/ref=sr_1_15?qid=1676964937&s=books&sr=1-15,1119794005,https://www.amazon.com/dp/1119794005/
15,15,"CompTIA Network+ Certification All-in-One Exam Guide, Eighth Edition (Exam N10-008)",https://www.amazon.com/CompTIA-Network-Certification-N10-008-Comptia/dp/1264269056/ref=sr_1_16?qid=1676964937&s=books&sr=1-16,1264269056,https://www.amazon.com/dp/1264269056/
16,16,"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",https://www.amazon.com/Python-Crash-Course-2nd-Edition/dp/1593279280/ref=sr_1_17?qid=1676964973&s=books&sr=1-17,1593279280,https://www.amazon.com/dp/1593279280/
17,17,CompTIA A+ Complete Study Guide: Core 1 Exam 220-1101 and Core 2 Exam 220-1102,https://www.amazon.com/CompTIA-Complete-Study-Guide-220-1101/dp/1119862914/ref=sr_1_18?qid=1676964973&s=books&sr=1-18,1119862914,https://www.amazon.com/dp/1119862914/
18,18,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1098125975/ref=sr_1_19?qid=1676964973&s=books&sr=1-19,1098125975,https://www.amazon.com/dp/1098125975/
19,19,Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,https://www.amazon.com/Designing-Machine-Learning-Systems-Production-Ready/dp/1098107969/ref=sr_1_20?qid=1676964973&s=books&sr=1-20,1098107969,https://www.amazon.com/dp/1098107969/
20,20,The Staff Engineer's Path: A Guide for Individual Contributors Navigating Growth and Change,https://www.amazon.com/Staff-Engineers-Path-Individual-Contributors/dp/1098118731/ref=sr_1_21?qid=1676964973&s=books&sr=1-21,1098118731,https://www.amazon.com/dp/1098118731/
21,21,CompTIA Security+ Study Guide: Exam SY0-601,https://www.amazon.com/CompTIA-Security-Study-Guide-SY0-601/dp/1119736250/ref=sr_1_22?qid=1676964973&s=books&sr=1-22,1119736250,https://www.amazon.com/dp/1119736250/
22,22,"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition: Your Journey to Mastery",https://www.amazon.com/Pragmatic-Programmer-Anniversary-Journey-Mastery/dp/B0833FBNHV/ref=sr_1_23?qid=1676964973&s=books&sr=1-23,B0833FBNHV,https://www.amazon.com/dp/B0833FBNHV/
23,23,"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter",https://www.amazon.com/Python-Data-Analysis-Wrangling-Jupyter/dp/109810403X/ref=sr_1_24?qid=1676964973&s=books&sr=1-24,109810403X,https://www.amazon.com/dp/109810403X/
24,24,"Introduction to Algorithms, fourth edition",https://www.amazon.com/Introduction-Algorithms-fourth-Thomas-Cormen/dp/026204630X/ref=sr_1_25?qid=1676964973&s=books&sr=1-25,026204630X,https://www.amazon.com/dp/026204630X/
25,25,Deep Learning (Adaptive Computation and Machine Learning series),https://www.amazon.com/Deep-Learning-Adaptive-Computation-Machine/dp/0262035618/ref=sr_1_26?qid=1676964973&s=books&sr=1-26,0262035618,https://www.amazon.com/dp/0262035618/
26,26,Windows 11 For Dummies,https://www.amazon.com/Windows-11-Dummies-Andy-Rathbone/dp/1119846471/ref=sr_1_27?qid=1676964973&s=books&sr=1-27,1119846471,https://www.amazon.com/dp/1119846471/
