book_asin,parent_category,category,isbn_13,title,author,price,publication_date,publisher,rating,review_count
1098129466,Computer Science,Computer Simulation,978-1107022317,Mathematics of Complexity and Dynamical Systems (Springer Reference),Robert A. Meyers,599.99,2011-10-05,Springer,0,0
1098113829,Computer Science,Bioinformatics,978-1032370767,Holland-Frei Cancer Medicine,Robert C. Bast Jr.,399.95,2023-05-16,Wiley-Blackwell,0,0
1119496489,Computer Science,Systems Analysis & Design,978-1789344691,Power System Analysis,John Grainger,351.69,1994-01-01,McGraw Hill TAB,4.2,272
1119612209,Computer Science,Bioinformatics,978-1800564183,Handbook of Statistical Genomics,David J. Balding,300.83,2019-09-10,Wiley,3.9,3
1617290858,Databases & Big Data,Data Modeling & Design,978-0199936991,Modern Database Management,Jeffrey Hoffer,293.32,2015-07-13,Pearson,4,179
3030261980,Databases & Big Data,Data Modeling & Design,978-3656710028,"Database Design, Query Formulation, and Administration, 8e Using Oracle and PostgreSQL",Michael Mannino,283.03,2022-09-01,Chicago Business Press,0,0
1119801621,Computer Science,Bioinformatics,978-1680838961,Duck Production and Management Strategies,R. Richard Churchil,279.99,2022-01-21,Springer,0,0
1848820534,Web Development & Design,User Experience & Usability,978-0321732279,Recommender Systems Handbook,Francesco Ricci,277.33,2022-04-23,Springer,0,0
1838823816,Web Development & Design,Web Design,978-1484242452,"Human Computer Interaction Handbook: Fundamentals, Evolving Technologies, and Emerging Applications, Third Edition (Human Factors and Ergonomics)",Julie A. Jacko,270,2012-05-04,CRC Press,4,12
1484251202,Databases & Big Data,Data Modeling & Design,978-1009098502,"Introduction to Database Systems, An",C. J. Date,253.32,2003-07-22,Pearson,3.9,78
1801071322,Computer Science,Information Theory,978-0134831695,"Metabolomics: A Powerful Tool in Systems Biology (Topics in Current Genetics, 18)",Jens Nielsen,240.78,2007-10-26,Springer,0,0
9811660999,Databases & Big Data,Data Modeling & Design,978-0190684099,Data Modeling Master Class Training Manual: Steve Hoberman's Best Practices Approach to Understanding and Applying Fundamentals Through Advanced Modeling Techniques,Steve Hoberman,238.6,2022-08-27,Technics Publications,1,1
1617295981,Computer Science,Systems Analysis & Design,978-3030193171,Modern Systems Analysis and Design,Joseph Valacich,234.66,2020-09-15,Pearson,4.4,58
